"DSCAMT_HF","DSCAMT_TSP","FACT_ADRES","DSCAMT_SOX","YEAR","FACT_INDICT_NM","DSCAMT_HCL","FACT_CODE","DSCAMT_CO","DSCAMT_NH3","DSCAMT_NOX"
"S","S","S","S","S","S","S","S","S","S","S"
" ","3517","세종특별자치시  부강면 부강금호로 497","1525","2016","아세아제지㈜ 세종공장","102","170009","10361"," ","147200"
" ","1146","세종특별자치시  전의면 소정구길 40"," ","2016","㈜케이씨씨세종공장"," ","170054"," "," ","31509"
" ","231","세종특별자치시  전동면 솔티로 341","187","2016","(주)에코비트에너지 세종","13","170064","2977"," ","5657"
" "," ","세종특별자치시  금송로 625 (가람동)"," ","2016","한국중부발전㈜세종발전본부"," ","170301"," "," ","256634"
" ","108","세종특별자치시  전동면 심동로 354"," ","2016","세종특별자치시 생활폐기물종합처리시설","450","170716","5382"," ","5204"
" ","427","세종특별자치시  조치원읍 번암공단1길 16"," ","2016","㈜쌍용씨앤비","33","170729","13890"," ","56368"
" ","160","세종특별자치시  장군면 장기로 836-11","645","2016","세종그린파워㈜","646","170737","1866"," ","4459"
"2016","2016","2016","2016","2016","2016","2016","2016","2016","2016","2016"
"17","17","17","17","17","17","17","17","17","17","17"
