"DSCAMT_HF","DSCAMT_TSP","FACT_ADRES","DSCAMT_SOX","YEAR","FACT_INDICT_NM","DSCAMT_HCL","FACT_CODE","DSCAMT_CO","DSCAMT_NH3","DSCAMT_NOX"
"S","S","S","S","S","S","S","S","S","S","S"
" ","8767","전라북도 전주시 덕진구 기린대로 787 (팔복동2가)","307351","2017","㈜휴비스 전주공장"," ","113001"," "," ","203373"
" ","8703","전라북도 전주시 덕진구 팔복로 59 (팔복동2가)"," ","2017","㈜전주원파워","20490","113002","24150"," ","577742"
" ","934","전라북도 전주시 덕진구 야전1길 27 (팔복동4가)","4","2017","천일제지㈜","1613","113003","1267"," ","20075"
" ","596","전라북도 전주시 덕진구 원만성로 55 (팔복동3가)","1326","2017","이도에코전주㈜((구)이도그린전주㈜)","2133","113005","2241"," ","23975"
" ","413","전라북도 전주시 덕진구 서귀로 211-6 (여의동)","631","2017","케이씨환경서비스㈜전주사업부","5013","113006","9383"," ","30423"
" ","546","전라북도 전주시 완산구 정여립로 625 (상림동)"," ","2017","전주권소각자원센터","2446","113007","7625"," ","70294"
" ","1032","전라북도 전주시 덕진구 온고을로 384 (팔복동3가)","398","2017","㈜미래페이퍼","490","113008","5418"," ","21602"
" ","1115","전라북도 전주시 덕진구 감수길 10-54 (팔복동4가)","807","2017","(주)에코비트에너지 전주(구:(주)티에스케이그린에너지)","4418","113009","17422"," ","34321"
" ","886","전라북도 전주시 덕진구 팔과정로 53 (팔복동3가)"," ","2017","㈜ 모나리자 전주공장","520","113010","24358"," ","31199"
" ","280","전라북도 전주시 완산구 삼산길 51-20","633","2017","전주시 종합리싸이클링타운","1042","113011","2619"," ","1675"
" ","2429","전라북도 전주시 덕진구 팔복로 59"," ","2017","㈜전주파워","11622","113012","2032"," ","67253"
" ","2749","전라북도 군산시 외항1길 264 (소룡동)"," ","2017","동원시스템즈(주)군산사업장(구:테크팩솔루션군산공장)"," ","113102"," "," ","106743"
" ","187","전라북도 군산시 외항로 82 (소룡동)"," ","2017","OCI㈜ 군산공장","10","113103","2082"," ","6600"
" ","31113","전라북도 군산시 외항로 522 (소룡동)"," ","2017","㈜세아베스틸 군산공장"," ","113104"," "," "," "
" ","843","전라북도 군산시 외항로 884 (소룡동)"," ","2017","대상㈜","418","113105","8712"," ","34502"
" ","27062","전라북도 군산시 외항1길 296 (소룡동)","1338192","2017","한국유리공업㈜ 군산공장"," ","113108"," "," ","773640"
" ","8706","전라북도 군산시 외항1길 56 (소룡동)","57","2017","㈜유니드비티플러스","3337","113109","11341"," ","94898"
" ","1656","전라북도 군산시 서해로 259 (소룡동)","772","2017","㈜엔아이티","71","113110","2385"," ","37519"
" ","416","전라북도 군산시 서해로 269 (소룡동)","281","2017","(주)엔아이티 군산사업소((구)한솔제지(주))","24","113111","2600"," ","7484"
" ","4124","전라북도 군산시 구암로 50 (조촌동)","151330","2017","페이퍼코리아(구)","143","113112","8149"," ","143964"
" ","44259","전라북도 군산시 임해로 297 (소룡동)","351055","2017","에스지씨에너지(주)군산사업부문(구:군장에너지)"," ","113114"," "," ","584341"
" "," ","전라북도 군산시 자유무역3길 19 (오식도동)"," ","2017","㈜KHE","204","113115"," "," "," "
" "," ","전라북도 군산시 구암3.1로 91-5 (경암동)"," ","2017","한국서부발전㈜ 군산발전본부"," ","113116"," "," ","326299"
" ","12123","전라북도 군산시 외항로 1222 (비응도동)","208430","2017","한화에너지㈜군산공장"," ","113117"," "," ","434621"
" ","23097","전라북도 군산시 새만금산단3로 213","238916","2017","OCI SE㈜"," ","113118"," "," ","206217"
" ","2178","전라북도 익산시 서동로23길 63 (신흥동)","322108","2017","전북집단에너지㈜"," ","113201"," "," ","238422"
" ","1988","전라북도 익산시 석암로17길 54 (팔봉동)","1118","2017","㈜한솔홈데코 익산공장","962","113202","1573"," ","44670"
" ","600","전라북도 익산시 춘포면 궁성로 188-14","807","2017","㈜이엠케이승경","4494","113204","5920"," ","32272"
" ","301","전라북도 익산시 선화로 823 (부송동)"," ","2017","익산시 신재생자원센터","1809","113205","2673"," ","23511"
" ","2647","전라북도 익산시 석암로7길 29 (용제동)"," ","2017","㈜상공에너지","6101","113206","29215"," ","62431"
" ","472","전라북도 익산시 망성면 망성로 14"," ","2017","㈜하림","1011","113207","6030"," ","14407"
" ","2471","전라북도 정읍시 공단1길 50 (영파동)","2774","2017","동원페이퍼㈜정읍공장","842","113301","7414"," ","56867"
" ","0","전라북도 남원시 대산면 노산하대길 134"," ","2017","남원시 대산매립장","0","113401","0"," ","0"
"2017","2017","2017","2017","2017","2017","2017","2017","2017","2017","2017"
"12","12","12","12","12","12","12","12","12","12","12"
